request_id,submitted_at,channel,region,account_tier,item_code,item_class,quantity,declared_value,item_age_days,has_documentation,prior_requests_90d,flagged_duplicate,recorded_outcome
REQ-100000,2025-04-08T02:10:00,PORTAL,APAC,PLATINUM,ITM-1041,CLASS_A,1,155.76,24,true,2,false,MANUAL_APPROVED
REQ-100001,2026-08-18T07:23:00,EMAIL,EMEA,SILVER,ITM-4249,CLASS_C,8,171.2,147,true,3,true,MANUAL_DECLINED
REQ-100002,2025-05-22T02:49:00,PORTAL,NA,BRONZE,ITM-9823,CLASS_B,40,2146.0,654,true,0,false,MANUAL_DECLINED
REQ-100003,2025-08-16T21:19:00,PHONE,NA,SILVER,ITM-7048,CLASS_A,1,20.58,307,false,2,false,MANUAL_APPROVED
REQ-100004,2025-01-17T21:24:00,API,NA,SILVER,ITM-1828,CLASS_B,2,40.7,6,false,0,false,MANUAL_DECLINED
REQ-100005,2025-07-26T13:55:00,API,APAC,SILVER,ITM-8376,CLASS_C,8,342.56,15,true,5,false,MANUAL_DECLINED
REQ-100006,2025-05-07T14:12:00,EMAIL,LATAM,GOLD,ITM-3909,CLASS_B,2,39.36,130,true,0,false,AUTO_APPROVED
REQ-100007,2025-07-09T11:40:00,PORTAL,EMEA,SILVER,ITM-7199,CLASS_B,400,11472.0,0,true,1,false,MANUAL_APPROVED
REQ-100008,2025-01-19T21:31:00,PORTAL,NA,BRONZE,ITM-7838,CLASS_A,5,284.7,143,true,5,false,MANUAL_APPROVED
REQ-100009,2025-12-17T00:08:00,PORTAL,APAC,BRONZE,ITM-9558,CLASS_A,40,429.2,104,true,0,false,MANUAL_APPROVED
REQ-100010,2025-11-01T09:07:00,PORTAL,APAC,GOLD,ITM-2701,CLASS_B,1,21.87,80,true,0,false,AUTO_APPROVED
REQ-100011,2025-07-12T20:10:00,PORTAL,NA,SILVER,ITM-8982,CLASS_A,40,1538.4,494,true,0,true,AUTO_DECLINED
REQ-100012,2025-03-13T04:23:00,PORTAL,NA,BRONZE,ITM-9572,CLASS_D,1,190.95,147,true,0,false,MANUAL_APPROVED
REQ-100013,2026-08-11T03:34:00,PORTAL,NA,SILVER,ITM-2965,CLASS_C,1,22.06,24,true,1,false,MANUAL_DECLINED
REQ-100014,2025-01-16T21:48:00,PORTAL,NA,BRONZE,ITM-8564,CLASS_B,1,57.57,204,false,1,false,MANUAL_DECLINED
REQ-100015,2025-07-22T18:16:00,PORTAL,NA,SILVER,ITM-4255,CLASS_A,8,186.08,741,true,1,false,MANUAL_APPROVED
REQ-100016,2025-02-26T20:08:00,API,NA,BRONZE,ITM-5152,CLASS_C,2,31.48,237,true,2,false,MANUAL_APPROVED
REQ-100017,2025-10-17T10:45:00,EMAIL,EMEA,SILVER,ITM-7327,CLASS_D,1,19.35,297,true,2,false,MANUAL_APPROVED
REQ-100018,2025-08-04T16:58:00,EMAIL,NA,SILVER,ITM-6381,CLASS_B,15,133.2,21,true,0,false,AUTO_APPROVED
REQ-100019,2026-08-09T08:11:00,PORTAL,APAC,GOLD,ITM-4178,CLASS_D,15,1114.5,130,true,0,false,MANUAL_APPROVED
REQ-100020,2025-08-16T16:06:00,API,NA,BRONZE,ITM-6139,CLASS_D,2,68.74,30,true,0,true,AUTO_DECLINED
REQ-100021,2025-03-20T23:16:00,PORTAL,APAC,SILVER,ITM-1992,CLASS_A,1,203.25,200,true,0,false,AUTO_APPROVED
REQ-100022,2026-08-02T01:23:00,PORTAL,NA,SILVER,ITM-7782,CLASS_C,40,4010.8,144,true,1,false,MANUAL_APPROVED
REQ-100023,2026-05-15T13:41:00,EMAIL,APAC,BRONZE,ITM-8597,CLASS_B,2,57.92,143,true,3,false,MANUAL_APPROVED
REQ-100024,2025-12-31T03:18:00,PORTAL,EMEA,BRONZE,ITM-4297,CLASS_D,2,114.46,73,true,0,true,AUTO_DECLINED
REQ-100025,2025-04-28T08:34:00,PORTAL,APAC,SILVER,ITM-3875,CLASS_C,15,1426.05,241,true,2,false,MANUAL_APPROVED
REQ-100026,2025-02-09T21:18:00,EMAIL,NA,GOLD,ITM-9083,CLASS_A,5,94.85,764,true,0,false,MANUAL_APPROVED
REQ-100027,2025-12-12T07:52:00,EMAIL,NA,SILVER,ITM-8509,CLASS_A,2,68.64,66,true,2,false,MANUAL_APPROVED
REQ-100028,2025-10-16T20:48:00,PORTAL,NA,BRONZE,ITM-4544,CLASS_C,400,143868.0,61,true,3,false,ROUTED_SPECIALIST
REQ-100029,2026-02-08T18:00:00,API,NA,SILVER,ITM-4680,CLASS_A,2,237.22,525,false,2,false,MANUAL_DECLINED
REQ-100030,2026-01-01T21:36:00,PORTAL,NA,SILVER,ITM-3939,CLASS_A,1,154.11,324,true,1,false,AUTO_APPROVED
REQ-100031,2026-01-28T07:19:00,PHONE,EMEA,SILVER,ITM-7006,CLASS_A,40,1106.0,139,true,2,false,AUTO_APPROVED
REQ-100032,2026-05-27T12:19:00,PORTAL,NA,SILVER,ITM-3665,CLASS_A,5,302.8,176,true,0,false,MANUAL_APPROVED
REQ-100033,2026-03-19T07:56:00,PORTAL,EMEA,BRONZE,ITM-4555,CLASS_B,1,60.75,4,true,0,false,MANUAL_APPROVED
REQ-100034,2025-11-26T07:56:00,PORTAL,APAC,GOLD,ITM-9786,CLASS_A,2,39.62,5,true,0,false,AUTO_APPROVED
REQ-100035,2025-03-06T17:34:00,EMAIL,NA,GOLD,ITM-3813,CLASS_C,1,59.32,34,true,1,false,MANUAL_APPROVED
REQ-100036,2026-02-10T18:36:00,EMAIL,APAC,GOLD,ITM-2850,CLASS_A,3,193.56,130,false,3,false,MANUAL_APPROVED
REQ-100037,2025-10-24T10:38:00,PORTAL,NA,GOLD,ITM-1726,CLASS_A,1,66.16,17,false,1,false,MANUAL_DECLINED
REQ-100038,2026-07-02T17:58:00,PORTAL,NA,PLATINUM,ITM-6441,CLASS_D,1,70.33,9,true,2,false,MANUAL_APPROVED
REQ-100039,2025-03-25T17:25:00,PORTAL,NA,GOLD,ITM-8240,CLASS_B,120,4780.8,261,true,5,false,AUTO_APPROVED
REQ-100040,2026-03-29T16:08:00,PORTAL,NA,SILVER,ITM-4949,CLASS_D,40,699.6,4,false,5,true,AUTO_DECLINED
REQ-100041,2026-07-23T18:49:00,PORTAL,APAC,BRONZE,ITM-8802,CLASS_C,15,229.95,315,true,2,false,MANUAL_DECLINED
REQ-100042,2026-02-05T22:33:00,PORTAL,NA,GOLD,ITM-3443,CLASS_A,5,109.95,59,true,0,false,AUTO_APPROVED
REQ-100043,2026-04-11T21:22:00,API,EMEA,BRONZE,ITM-5754,CLASS_B,2,51.94,26,true,0,false,MANUAL_APPROVED
REQ-100044,2026-05-30T02:48:00,PHONE,LATAM,GOLD,ITM-5430,CLASS_A,8,388.4,245,true,3,false,AUTO_APPROVED
REQ-100045,2026-04-07T03:57:00,PORTAL,NA,SILVER,ITM-5460,CLASS_C,2,132.78,68,true,2,false,MANUAL_DECLINED
REQ-100046,2026-01-04T00:24:00,PORTAL,NA,SILVER,ITM-3140,CLASS_B,1,74.32,36,true,0,true,MANUAL_APPROVED
REQ-100047,2026-05-08T18:03:00,PORTAL,APAC,BRONZE,ITM-2414,CLASS_B,3,109.2,248,true,2,false,MANUAL_APPROVED
REQ-100048,2025-09-14T05:28:00,PORTAL,LATAM,BRONZE,ITM-4286,CLASS_A,400,23436.0,297,true,2,false,ROUTED_SPECIALIST
REQ-100049,2025-05-06T04:04:00,PORTAL,NA,BRONZE,ITM-9062,CLASS_A,1,27.76,77,true,0,false,MANUAL_APPROVED
REQ-100050,2026-07-02T10:44:00,PORTAL,EMEA,BRONZE,ITM-2817,CLASS_B,1,22.84,145,true,1,false,MANUAL_APPROVED
REQ-100051,2025-03-17T23:39:00,PHONE,NA,BRONZE,ITM-6202,CLASS_C,3,23.7,111,true,1,true,AUTO_DECLINED
REQ-100052,2025-03-29T05:40:00,PORTAL,APAC,BRONZE,ITM-4538,CLASS_A,8,350.96,80,true,0,false,MANUAL_APPROVED
REQ-100053,2025-01-16T23:08:00,EMAIL,LATAM,BRONZE,ITM-7657,CLASS_A,1,11.58,3,true,1,false,MANUAL_APPROVED
REQ-100054,2026-04-23T18:05:00,PHONE,LATAM,BRONZE,ITM-8546,CLASS_B,3,142.74,4,true,1,false,MANUAL_APPROVED
REQ-100055,2026-03-22T00:42:00,API,EMEA,BRONZE,ITM-6504,CLASS_A,3,620.13,15,true,2,false,MANUAL_DECLINED
REQ-100056,2025-03-12T09:39:00,EMAIL,NA,BRONZE,ITM-4157,CLASS_A,40,5153.6,13,true,0,false,MANUAL_APPROVED
REQ-100057,2026-02-18T16:43:00,PORTAL,NA,BRONZE,ITM-2656,CLASS_C,5,319.45,118,true,0,false,MANUAL_DECLINED
REQ-100058,2025-06-12T06:38:00,PORTAL,NA,GOLD,ITM-4390,CLASS_C,5,228.05,1,true,0,false,AUTO_APPROVED
REQ-100059,2025-12-30T18:03:00,API,APAC,SILVER,ITM-2593,CLASS_B,1,304.75,337,false,1,false,MANUAL_DECLINED
REQ-100060,2025-03-07T02:33:00,PORTAL,EMEA,BRONZE,ITM-8968,CLASS_A,3,29.31,22,true,0,false,MANUAL_DECLINED
REQ-100061,2026-03-21T13:07:00,EMAIL,EMEA,BRONZE,ITM-1650,CLASS_C,40,986.0,211,true,12,false,MANUAL_DECLINED
REQ-100062,2025-06-28T17:44:00,PORTAL,NA,BRONZE,ITM-1335,CLASS_A,1,16.99,216,false,1,false,MANUAL_DECLINED
REQ-100063,2025-01-18T15:35:00,API,EMEA,SILVER,ITM-6918,CLASS_C,8,203.76,320,false,2,false,AUTO_DECLINED
REQ-100064,2025-04-16T01:18:00,PORTAL,EMEA,SILVER,ITM-6998,CLASS_C,5,401.75,243,false,5,false,AUTO_DECLINED
REQ-100065,2026-08-10T22:04:00,API,NA,SILVER,ITM-2163,CLASS_B,8,321.6,30,false,0,false,MANUAL_DECLINED
